x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2628473,53.4716939,-4.73001E+18,200,2,4,1,3,2.5,1.666666667,1.290994449,0.666666667,0.516397779
-2.2631423,53.519332,3.62774E+18,208,1,0,0,0,0.25,0.25,0.5,1,2
-2.2610152,53.4186657,5.17394E+18,41,1,1,0,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2610427,53.4231599,-9.77343E+16,25,0,1,0,0,0.25,0.25,0.5,1,2
-2.2612027,53.4492263,-2.76837E+18,37,1,1,0,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2614182,53.4842809,9.74804E+17,136,2,4,0,2,2,2.666666667,1.632993162,1.333333333,0.816496581
-2.2615178,53.5004599,5.25851E+17,48,0,1,0,0,0.25,0.25,0.5,1,2
-2.259516,53.4195678,-6.35926E+18,51,0,0,1,0,0.25,0.25,0.5,1,2
-2.2595928,53.4321516,-3.18646E+18,34,2,3,2,1,2,0.666666667,0.816496581,0.333333333,0.40824829
-2.2595982,53.4330505,4.72838E+18,114,6,8,3,5,5.5,4.333333333,2.081665999,0.787878788,0.378484727
-2.2596037,53.4339493,-4.34743E+18,84,2,6,1,2,2.75,4.916666667,2.217355783,1.787878788,0.806311194
-2.2596311,53.4384435,2.48674E+18,53,7,4,2,1,3.5,7,2.645751311,2,0.755928946
-2.2596641,53.4438366,6.2672E+18,24,1,1,0,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2596805,53.4465331,4.81359E+18,67,1,3,4,4,3,2,1.414213562,0.666666667,0.471404521
-2.2597299,53.4546226,6.46757E+18,35,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2597574,53.4591168,8.86422E+18,100,4,4,4,3,3.75,0.25,0.5,0.066666667,0.133333333
-2.2598068,53.4672063,5.53858E+18,93,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2598233,53.4699029,5.428E+18,82,0,4,1,1,1.5,3,1.732050808,2,1.154700538
-2.2599002,53.4824865,1.93738E+18,62,0,0,0,1,0.25,0.25,0.5,1,2
-2.2599167,53.485183,5.08152E+18,68,0,1,1,0,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2580223,53.4213688,-4.18E+18,80,1,0,0,0,0.25,0.25,0.5,1,2
-2.2580277,53.4222676,-5.187E+18,38,1,0,0,2,0.75,0.916666667,0.957427108,1.222222222,1.276569477
-2.258104,53.4348514,4.5414E+18,97,2,5,5,2,3.5,3,1.732050808,0.857142857,0.494871659
-2.2581258,53.4384468,2.64171E+18,22,2,2,1,2,1.75,0.25,0.5,0.142857143,0.285714286
-2.2581586,53.4438398,4.76827E+18,28,2,0,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2581804,53.4474352,-4.29518E+18,160,5,5,5,7,5.5,1,1,0.181818182,0.181818182
-2.2582077,53.4519294,9.206E+18,45,1,1,0,4,1.5,3,1.732050808,2,1.154700538
-2.2582131,53.4528282,7.68897E+18,72,3,2,4,4,3.25,0.916666667,0.957427108,0.282051282,0.294592956
-2.2582513,53.4591201,-1.00739E+18,96,4,4,2,4,3.5,1,1,0.285714286,0.285714286
-2.258295,53.4663108,-3.23328E+18,99,3,2,2,0,1.75,1.583333333,1.258305739,0.904761905,0.719031851
-2.2583332,53.4726026,1.45986E+18,167,1,3,4,3,2.75,1.583333333,1.258305739,0.575757576,0.457565723
-2.2585137,53.5022641,-5.9924E+18,97,0,2,0,0,0.5,1,1,2,2
-2.256588,53.433057,3.18931E+18,21,1,2,1,0,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2566368,53.4411466,-7.7278E+18,73,6,2,4,4,4,2.666666667,1.632993162,0.666666667,0.40824829
-2.2566693,53.4465396,2.27711E+18,53,4,2,1,3,2.5,1.666666667,1.290994449,0.666666667,0.516397779
